id,context,utterance,implicature,implicature2
32004,Do you listen to rap?,"Never, I can't stand it.",0,No
32005,Can you eat Indian food when it's spicy?,"The spicier it is, the better.",1,Yes
32006,Are you ready to have fun?,I always bring my game face when I come to visit you!,1,Yes
32007,Do you spend a lot on food?,I eat out every day.,1,Yes
32008,Would you like to learn cooking recipes?,I am looking at some cooking classes.,1,Yes
32009,Are you a fan of vampires?,I really prefer other types of monsters.,0,No
32010,Do you enjoy outdoor activities?,if the weather is nice,1,Yes
32011,Have you ever been to the fair?,I went last fall.,1,Yes
32012,Are you still friends with our other neighbor?,They are long gone.,0,No
32013,Have you been to any music festivals?,I have been very busy lately.,0,No
32014,Want to try Go Ape this weekend?,I'm scared of heights.,0,No
32015,Shall we arrange to meet again soon?,I think we should,1,Yes
32016,Do you need to stay over at my place?,If you have room that would be great.,1,Yes
32017,Do you like non-fiction?,Biographies are always interesting.,1,Yes
32018,Was your trip ok?,Other trips were easier.,0,No
32019,Are you quitting because of your boss?,We didn't get along.,1,Yes
32020,Do you work long hours?,When we're short-staffed.,1,Yes
32021,Are you from out of state?,I moved across the country.,1,Yes
32022,Do you like horror books?,I'm too chicken to read them.,0,No
32023,Your kids didn't come with you this time?,They stayed home with their dad because they have school.,0,No
32024,Are you living in a high rise apartment?,I live in a garden flat.,0,No
32026,Want to share a taxi back to Heswall ?,I'm going in the other direction.,0,No
32027,Do you like like talking about books with others?,"I don't t have ever done so in a group setting, and am not so interested.",0,No
32028,Have you met other neighbours?,Most of us have known each other for years.,1,Yes
32029,Are you craving any specific flavors?,I want something spicy.,1,Yes
32030,Is your mom still teaching at the university?,She retired a few years ago.,0,No
32032,Do you like this area of town?,It seems like a nice area.,1,Yes
32033,Can you eat spicy food?,SPicy food hurts my tongue.,0,No
32034,Have you watched Avengers?,I did quite a while ago,1,Yes
32035,Do you want to live in New York city?,Only if I can get a good job.,1,Yes
32036,Want to go see a movie?,I'd rather play outside.,0,No
32037,Do you like living here?,This is a beautiful area.,1,Yes
32038,Want to grab a bite to eat?,I'm not hungry right now.,0,No
32039,Are you into hip hop?,It's my fave.,1,Yes
32040,Has anything interesting happened since we were kids?,So much -- where do I start?!,1,Yes
32041,Are you looking to move there permanently?,"If I'm making the investment, of course.",1,Yes
32042,Have you been living here?,I just moved back.,0,No
32043,Would you like to join me for a run sometime?,that would be good,1,Yes
32044,Have you read anything from the NYT bestseller list?,I don't keep up with the Times.,0,No
32045,You like high pitch songs?,I enjoy Hindi music.,1,Yes
32046,Did your last job allow you a lot of autonomy?,I was just an assistant.,0,No
32047,Do you like outdoor activities?,I'd rather stay in and take a nap.,0,No
32048,Will you be close to work?,Until they move me to the other office.,1,Yes
32049,Does being in nature relax you?,It is my favorite place to be.,1,Yes
32050,"Hey, are you off until Tuesday?",I have Tuesday off too,1,Yes
32051,Do you know how to play piano?,I took flute lessons.,0,No
32052,Do you read science type books?,I love to further my knowledge regarding the universe.,1,Yes
32053,Do you have family around here?,My family lives in the neighbourhood.,1,Yes
32054,Do you want to catch up over breakfast?,That sounds good,1,Yes
32055,Have you ever worked in a kitchen?,I was a pastry chef for a time.,1,Yes
32056,Do you listen to music when you work out?,I find it distracting.,0,No
32057,Do you have plans this weekend?,I'll be going golfing on Sunday.,1,Yes
32058,Have you heard of ACDC?,Who hasn't,1,Yes
32059,Does your current position have growth potential?,It does after a certain time,1,Yes
32061,Have you been to a book reading lately?,I've never been to one.,0,No
32062,Do you have difficulty completing all your assigned work?,When I have more than one project at once.,1,Yes
32063,Can you remember how long it's been since we saw each other?,It was at the last reunion.,1,Yes
32064,Is your salary okay?,The salary for the new job will be very good.,1,Yes
32065,Have you been in town this whole time?,It's been years since I've been back here.,1,Yes
32066,Is a view important?,I like to have a waterfront view.,1,Yes
32067,Do you stand up at work?,I'm always on the go for my job.,1,Yes
32068,Have you eaten?,I want some Chinese food.,0,No
32069,Are you into novels with a complicated plot?,As long as the writing is good.,1,Yes
32071,Can I come visit you?,I keep a spare bedroom just for you.,1,Yes
32072,Did your last job allow you a lot of autonomy?,It was pretty inflexible.,0,No
32073,Are you looking to move to Manhattan?,I'd rather live in Soho.,1,Yes
32074,Have you got any children?,none at the moment,0,No
32075,Do you like fried chicken?,When it's seasoned well.,1,Yes
32076,Are you a Gemini?,I'm a Scorpio.,0,No
32077,Have you ever been to ACL?,I don't know what that is.,0,No
32078,Do you like Jane Austen?,Emma is my favorite book.,1,Yes
32079,Are you taking the bus today?,.I drove into work this morning.,0,No
32080,Will you be watching that new drama this evening?,I'll record it on our DVR.,0,No
32081,Should I give you my number?,I think I still have it,0,No
32082,Are you a fan of comics?,I prefer more text in my reading.,0,No
32083,Are you looking for things you can only enjoy in this city?,I want to see everything in the area.,1,Yes
32084,Have you been to the opera?,I would be very open to going for the first time.,0,No
32086,Want to see a sports game?,It depends on the sport.,1,Yes
32087,Is it in the same industry?,"It's similar, but not exactly the same.",1,Yes
32088,Have you discussed buying a flat with your family?,They lost interest.,1,Yes
32089,Do you like long books better than short ones?,I prefer shorter books because I don't have much time for reading.,0,No
32090,Are you very busy these days?,You could say that.,1,Yes
32091,Had a good week?,Its been pretty good,1,Yes
32092,Do you like books based on true events?,True stories can be amazing.,1,Yes
32093,Have you ever been to a music festival?,I went to one last week.,1,Yes
32094,Do you like murder mystery novels?,They scare me.,0,No
32095,Are you happy with the flat?,It could be bigger and less expensive.,0,No
32097,Do you want to live in New York city?,I'm looking in Queens and Brooklyn.,1,Yes
32098,Do you enjoy fine dining?,When someone else is paying.,1,Yes
32099,Is your company private?,It's huge corporation.,0,No
32100,Are you going to get a place close to where you work?,That's the plan.,1,Yes
32101,Is it time to relax?,I've still got work to do.,0,No
32102,Were you born in town?,I'm originally from Texas.,0,No
32103,Do you like tacos?,Tacos are my favorite food!,1,Yes
32104,Want to go to the park?,I need to do some unpacking first.,1,Yes
32105,Will you take the subway back?,I probably will,1,Yes
32106,Have you ever gone kayaking?,I've only used canoes,0,No
32107,Do you like fish?,I eat tuna and salmon.,1,Yes
32108,Do you have a laptop computer?,its broken at the minute,1,Yes
32109,Do you work with kids?,Not in my last job.,0,No
32110,Do you feel you get paid enough?,I don't think it's enough for the work I do.,0,No
32111,Have you read Stephen King?,I thought hte Talisman was interesting.,1,Yes
32112,Was the trip peaceful?,It was really relaxing,1,Yes
32113,Are you from the area?,Grew up just down the street.,1,Yes
32114,Would you have to relocate?,I get to stay right where I am.,0,No
32115,Are you going to eat out for dinner?,I'm going to have leftovers at home.,0,No
32116,Have you lived in this city long?,I've lived here all of my life.,1,Yes
32117,Do you go fishing for the weekends?,I don't like fish.,0,No
32118,Do you have plans for this weekend?,I have nothing planed yet,0,No
32119,Is this your child?,"This is my son, Alex.",1,Yes
32120,Do you have friends or family in New York?,I have a cousin who lives there.,1,Yes
32121,Are you into theater plays?,If there's good music.,1,Yes
32122,Are you committed to being in the city?,I will get to be,1,Yes
32123,Do you have an interest for seafood?,When it's seasoned well.,1,Yes
32124,How often do you eat spicy food?,Spicy food makes me sick.,1,Yes
32125,Is Mexican food too spicy for you?,I can't handle it.,1,Yes
32126,Do you listen to the radio a lot?,I have it on all day long at work.,1,Yes
32127,Would you prefer a locally owned restaurant?,I love the big chain food outlets.,0,No
32128,Do you ever go hanging out at the local bar?,I'm a bit of an alcoholic.,1,Yes
32129,Are you committed to being in the city?,That is the plan.,1,Yes
32130,Is classical music your favorite?,Rap is my favorite.,0,No
32131,Do you have experience managing others in your current job?,I don't have any managerial experience.,0,No
32132,Have you gone to college?,I just graduated.,1,Yes
32133,Is it close to the subway?,I've never been closer to one.,1,Yes
32134,Is it stressful all the time?,Only when we have a deadline to keep.,1,Yes
32135,Can you sing/ rap?,I wish I could,0,No
32136,Can I join you?,The more the merrier.,1,Yes
32137,Can I catch a ride with you?,My car is already full.,0,No
32138,Have you ever been to a roller derby?,I've never been to one.,0,No
32139,Do you have any kids now?,I never married.,0,No
32140,Do you want to play some videogames?,"Let's play some Mario Kart, and this time I'll beat you.",1,Yes
32141,Do you enjoy complicated plots?,Only when the story also has a strong female lead.,1,Yes
32142,Is your job well paid?,I don't make as much as I need.,0,No
32143,Do you like Mexican?,When it doesn't have refried beans.,1,Yes
32144,Did you secretly have a crush on me in high school?,You wish,0,No
32145,Do you have to travel?,I get to travel a few times a year.,1,Yes
32146,Have you ever been to the fair?,I haven't been in forever.,1,Yes
32147,Do you like sandwich?,I usually go with a burger instead.,0,No
32148,Did you have any trouble getting here?,I got so lost.,1,Yes
32149,Have you ever done one of those mystery mazes?,I've always been curious about that.,0,No
32150,Will I see you tomorrow?,Possibly if I am free,1,Yes
32151,Do you know how much the flat is?,A price was not listed.,0,No
32152,Are you watching a film tonight?,Depends on when I get home.,1,Yes
32153,How about booth seating?,Booth seating is comfy.,1,Yes
32154,Is it a pay increase?,I might get a little bump up.,1,Yes
32155,Did you just move to Texas?,We've been here years.,0,No
32156,Want to have a BBQ this weekend?,that sounds great,1,Yes
32157,Did you ever go to college or university?,I missed all that.,0,No
32158,Do you work weekends?,I won't bring work home.,0,No
32159,Are you willing to spend more than $20?,ANything under 30 is good with me.,1,Yes
32160,Do you prefer an office job?,I like to work with my hands.,0,No
32161,Would you like to go to a classical concert?,It depends on the cost.,1,Yes
32162,Do you know what neighborhood you will buy it in?,I'm looking at the Lower East Side.,1,Yes
32163,Are you living here in town?,I have just bought a house nearby.,1,Yes
32164,Has your life gone the way you expected?,"There've been a lot of surprises, but all good.",0,No
32165,Do you want to meet some of my friends?,Any friends of your I'm sure I'll get along with.,1,Yes
32166,Do you have plans for tonight?,I have a yoga class.,1,Yes
32167,Interested in hitting the outlet mall?,I'd rather go to a more upscale location this time.,0,No
32168,Do you like buffets?,I love trying as many different foods as possible.,1,Yes
32169,You miss things around here?,There's no where like here.,1,Yes
32170,Could you Airbnb it?,That's a good idea.,1,Yes
32171,Are you financially stable?,I am a millionaire.,1,Yes
32172,Are your brothers and sisters nearby?,They all just left for college.,0,No
32173,Do you want to catch up over breakfast?,Let's go to the waffle house.,1,Yes
32174,Do you want to grab something to eat?,"I'm feeling a bit tired tonight, sorry.",0,No
32175,Would you consider taking a pay cut if it meant you'd enjoy your job more?,Only if I'd enjoy the job more and work less hours.,1,Yes
32176,Have you met the other neighbors?,My best friend lives next door.,1,Yes
32177,Have you discussed buying a flat with your family?,They will loan me as much as I need.,1,Yes
32178,Are you happy?,I'm enjoying life.,1,Yes
32179,Is it close to all the places you like?,It's in my favourite neighbourhood.,1,Yes
32180,Do you often eat out in restaurants?,It depends on the country.,1,Yes
32181,Do you like to swim?,I'm a fish!,1,Yes
32182,Have you gone out to eat recently?,Not in the last month,0,No
32183,Is the new job full time?,It starts part time.,0,No
32184,Is your job too far?,I don't mind the commute.,0,No
32185,Do you still live in town?,We moved last year.,0,No
32186,"Good afternoon and welcome to the neighborhood, do you have any children?",We're looking to adopt our first.,0,No
32187,Are you a college graduate?,I went to technical school.,0,No
32188,Do you listen to classes musical?,I've never heard of it.,0,No
32189,Do you like to read about true events?,Biographies are my favourites.,1,Yes
32190,Is the Harry Potter series of any interest to you?,I never read it and I don't want to.,0,No
32191,Do you dislike your current job?,My boss is a hack.,1,Yes
32192,Do you play other instruments besides this one?,I'd like to learn the cello.,0,No
32193,Do you want to live with a roommate?,If need to live alone.,0,No
32194,Have you met up with anyone else we know?,I've been trying.,0,No
32195,Do you like to BBQ during the summer?,I prefer to cook indoors.,0,No
32196,Do you watch sports?,Only when it's baseball.,1,Yes
32197,Would you like to go to the vegan restaurant?,I would prefer someplace with meat.,0,No
32198,Are you staying at a hotel?,I thought I was staying with you.,0,No
32199,Have you lived here very long?,I moved here 3 months ago.,0,No
32200,Have you set your budget for the purchase?,I've decided $200k is my limit.,1,Yes
32201,Do you like buffets?,I prefer to eat finger food.,0,No
32202,Is Spotify on your phone?,I stream Spotify while driving.,1,Yes
32203,Did you find that you often used public transportation?,On our visit we mostly walked.,0,No
32204,Have you been to any concerts recently?,I spend my free time at the movies.,0,No
32205,Are you happy working here at this job?,It's one of the best places I've ever worked.,1,Yes
32206,Are you into Chinese cuisine?,I don't like Asian food.,0,No
32207,Are you going to the high school football game tonight?,I haven't been in years.,0,No
32208,Do you play the cello?,I used to.,0,No
32209,Is this a profession you want to stay in?,I'm proud of my career.,1,Yes
32210,Would you like Italian food?,I eat pizza all of the time.,1,Yes
32211,Do you prefer an office job?,I like a very flexible schedule I just cannot find in office jobs.,0,No
32213,"Hey, are you off until Tuesday?",I have to be back at the office on Monday.,0,No
32214,Do you have any meetings tomorrow?,I have one meeting for the day.,1,Yes
32215,Do you want to rest from your trip?,I have plenty of energy.,0,No
32216,Have you been to a farmer's market?,I go to ours every week in the summer.,1,Yes
32217,Are you a fan of vampires?,Only the scary ones.,1,Yes
32218,Have you spent a long time at your current job?,This will be my 10th year here.,1,Yes
32219,Have you watched Disney movies?,I've seen most Disney films.,1,Yes
32220,Are you new to the area?,Very new,1,Yes
32221,Do you need a nap?,I could use a power nap.,1,Yes
32222,Are you okay with spicy food?,I can't handle it if it's too hot.,0,No
32223,Do you enjoy nonfiction content?,I prefer fiction,0,No
32224,Does your family like skiing?,My kids think it's boring.,0,No
32225,Do you like to eat fast food?,It's the best.,1,Yes
32226,Did your parents share any music with you?,All the 80s stuff!,1,Yes
32227,Do you want to get dinner?,Sorry I have other plans already.,0,No
32228,Is salad something you're interested in?,It depends on what you put on it.,1,Yes
32229,Do you read mystery novels,I think they are a bit boring.,0,No
32230,Have you tried the new Thai restaurant at the Galleria?,"I often eat nu,ber 60 on their menu.",1,Yes
32231,Are you still in the same job as last time I saw you?,I moved jobs last year,0,No
32232,Can you remember how long it's been since we saw each other?,"I think something like 15 years,",1,Yes
32233,Do you like Jazz music?,Depends on the artist.,1,Yes
32234,Are you into dancing?,At home by myself!,1,Yes
32235,Have you tried bowling at BigAl's?,I don't like bowling.,0,No
32236,Do you like to do Yoga?,I like pilates better.,0,No
32237,Is it just you and your husband that live here?,It is just the two of us,1,Yes
32238,Are you okay to eat spicy food?,It makes my stomach turn.,0,No
32239,Do you care about the lyrics at all?,I pay close attention to the lyrics.,1,Yes
32240,Did you find that you often used public transportation?,I use public transport a lot,1,Yes
32241,Are you from here?,I am from outside the town,0,No
32242,Want to grab something to eat?,Depends on what you where you want to go.,1,Yes
32243,Are you busy Saturday?,I'll be working all day.,1,Yes
32244,Have you been downtown yet?,This is my first time here.,0,No
32245,Do you have a lot of hobbies?,Just a few.,1,Yes
32246,Do you like to visit museums?,If it's an interesting one.,1,Yes
32247,Have you read any books by Terry Pratchett?,I've never read his work.,0,No
32248,Do you eat meat?,I had a roast beef sandwich for lunch.,1,Yes
32249,Have you ever been to Paris?,I go there every year.,1,Yes
32250,Got any fun weekend plans?,I have tickets to the boat show this weekend.,1,Yes
32251,Are you ready to enjoy the weekend?,I'm so excited!,1,Yes
32252,Are you heading to work?,We're about to leave!,1,Yes
32253,Is true crime too scary for you?,It can hit a little close to home.,1,Yes
32254,Are you a fan of classic literature?,Dickens especially.,1,Yes
32255,Do you drink alcoholic beverages?,I can't drink alcohol anymore.,0,No
32256,Do you live on your own ?,My roommate moves in tomorrow,0,No
32257,Want to go for a beer?,I really dislike the bar scene.,0,No
32258,Have you ever been to the opera?,It's on my bucket list,0,No
32259,How about a game of cards?,Let's play Uno.,1,Yes
32260,Are you willing to get a roommate?,I'd prefer to live alone.,0,No
32261,Do you like reading scary novels ?,I hate them,0,No
32262,Do you need to keep within a certain price range?,I have to keep to a certain budget,1,Yes
32263,Have you seen any of our old friends lately?,I bumped into our next door neighbour the other day.,1,Yes
32264,Do you have to do shift work?,I have regularly scheduled hours.,0,No
32265,Did you ever play in the band in high school?,I was never asked to,0,No
32266,Do you know what neighborhood you want to live in?,I haven't decided yet,0,No
32267,Would you like to take the spare key to my house?,That would make things a lot easier.,1,Yes
32268,Do you like to see live music?,When it's outdoors.,1,Yes
32269,Do you enjoy heavy metal?,I prefer something lighter.,0,No
32270,Would you be interested in a fantasy book club?,I'm really not a fantasy fan.,0,No
32271,Are you a vegan?,I'm just a vegetarian.,0,No
32272,Do you ever go hanging out at the local bar?,Drinking is not my cup of tea.,0,No
32273,Do you use an e-reader?,I prefer a book,0,No
32274,Isn't it really expensive?,It is a pretty hefty price.,1,Yes
32275,Are you into young adult novels?,They are not my favourite,0,No
32276,Are you planning on moving there soon?,As soon as possible,1,Yes
32277,Do you like fictional books?,Only when they have solid character development.,1,Yes
32278,Have you heard about the museums.,I heard there is a really nice art museum in town.,1,Yes
32279,Are you tired?,I've been feeling really exhausted lately.,1,Yes
32280,Have you ever lived in a big city?,I'm from a small town.,0,No
32281,Will you have to do any renovations?,It is brand new.,0,No
32282,Do you still live in the neighborhood?,I am only visiting.,0,No
32283,Are you in a band?,I wish!,0,No
32284,Do you like parties?,Only when I know people who are there.,1,Yes
32285,Are you staying in tonight?,Watching Netflix until I fall asleep.,1,Yes
32286,Want to go the the concert tonight?,If I get out of work in time.,1,Yes
32287,Do you want to do stuff that is unique to my town?,that would be great,1,Yes
32288,Did you go to university after school ?,I graduated with a BA.,1,Yes
32289,Are you into fiction?,Fiction keeps me dreaming.,1,Yes
32290,Do you want to see a movie later?,That would be lovely,1,Yes
32292,Are you looking specifically downtown locations?,I'm open to any neighborhood.,0,No
32294,Are you into any sports?,I like some sports,1,Yes
32295,Do you have plans while you're here?,I want to eat some good food.,1,Yes
32296,Does your current position have growth potential?,They have told me I could move up.,1,Yes
32297,Do you want to go with me to brunch on Saturday?,That would be nice,1,Yes
32298,Is it big?,I've seen bigger.,0,No
32299,Did you just make this decision?,I have made it a while back,0,No
32300,Would you like to keep doing the same thing?,I would rather not have to learn a new job at my age.,1,Yes
32301,Are you happy with your work life balance?,It's okay but I would like a bit more flexibility.,0,No
32302,Did you get the pool key?,We went swimming last night.,1,Yes
32303,Do you have plans tonight?,I'm going out with my sister.,1,Yes
32304,Is the apartment big enough?,You don't need a lot of space in NYC.,1,Yes
32306,Have you been to any festivals?,I go to Oktoberfest every year.,1,Yes
32307,Do you like to play at Open Mike sessions?,They are too embarrassing for me.,0,No
32308,Do you enjoy going to music festivals?,some of them are pretty good,1,Yes
32309,Do you have friends that live around here?,I don't know anyone in town.,0,No
32310,Do you go fishing for the weekends?,Fishing is too boring.,0,No
32311,Do you enjoy clubs?,I usually stay home.,0,No
32312,Do you like local theater?,I only like going to Broadway shows.,0,No
32313,Do you remember Charlotte?,I cant recall any friends from our childhood.,0,No
32314,Do you mind a long subway ride?,I'd prefer a shorter subway ride.,0,No
32315,Do you like non-fiction?,I prefer a good tale.,0,No
32316,Things been good lately?,Everything is on the up and up.,1,Yes
32317,Did you like the Harry Potter books?,They are too childish for me.,0,No
32318,Do you work alone?,I work with my wife.,0,No
32319,Do you have plans after work?,Nothing concrete.,0,No
32320,Do you still play football?,I don't have much time now to play,0,No
32321,Want to extend this conversation over dinner tonight?,Let's do it.,1,Yes
32322,Are you a science fiction fan?,I'm really not,0,No
32324,Are you studying somewhere?,I graduated.,0,No
32325,Do you like your job?,I love it,1,Yes
32326,Do you play any sports?,"Soccer, football, and tennis.",1,Yes
32328,Do you want something quick?,Depends what it is.,1,Yes
32329,You want to catch up over coffee?,Maybe some other time.,0,No
32330,Hey would you be interested in going to a local band's show this weekend?,I can be the designated driver.,1,Yes
32331,Are you planning to drink?,I'd love a mimosa.,1,Yes
32332,Have you lived in Europe?,That's my home Country,1,Yes
32333,Are you going straight home after work?,I might run to the store first.,0,No
32334,Do you like it here?,More than anything.,1,Yes
32335,"I've really been wanting to go back to the arcade this weekend, does that sound like fun to you?",I can't wait to beat your high score.,1,Yes
32336,do you like salads?,All I eat are vegetables!,1,Yes
32337,Are you looking for something in education?,I prefer to stick to work in the oil industry.,0,No
32338,Is it in a safe area?,it seems to be,1,Yes
32339,Have you seen Rhianna's newest video?,I haven't seen it yet,0,No
32340,Any thoughts on what you'd do instead?,I'm thinking of getting into banking.,1,Yes
32341,Do you go to New York often?,It's my favorite city.,1,Yes
32342,Do you have to finish up the spreadsheet by Monday?,I've already finished that spreadsheet.,1,Yes
32343,Do you like murder mystery novels?,They're not really my thing.,0,No
32345,Do you happen to enjoy war history or global history?,I'm not interested in history.,0,No
32346,Do you work a morning shift?,I work afternoons.,0,No
32347,Are you planning on walking to work?,I'll take the subway.,0,No
32348,Are you interested in history?,My favorite books are history books.,1,Yes
32349,Would you like to get a bite to eat before going home?,I'm not hungry.,0,No
32350,Are you happy at work?,Most of the time,1,Yes
32351,Will you be going at night this weekend?,Depends if I can get a babysitter.,1,Yes
32352,Are there many people who come and go?,The turnover is amazing.,1,Yes
32353,Do you like to cook on weekends?,I prefer going out,0,No
32354,Do you work in Tech?,I manage our IT department.,1,Yes
32355,Have you been at your current job for at least two years?,I've been working for this company for over five years.,1,Yes
32356,Does rock interest you at all?,I'm more into pop.,0,No
32357,Do you have any plans this evening?,I'm going out with my sister.,1,Yes
32358,Did you move from near-by?,"We lived in Portland, actually.",0,No
32359,Do you enjoy living out of town?,I love my small town.,1,Yes
32360,Do you like soft music?,I do in the right mood,1,Yes
32361,Have you ever tried anything humorous?,Humour is my favourite to read.,1,Yes
32362,Would you prefer hardback books?,I prefer ebooks actually.,0,No
32363,Are you a fan of alternative music?,Only some of it,1,Yes
32364,Do you want to try a new restaurant?,I am always game to try new food.,1,Yes
32365,Have you thoroughly thought this through?,I've been thinking about it forever.,1,Yes
32366,Is pizza ok?,that would be ideal,1,Yes
32367,You don't happen to still drink beer do you?,I'm afraid I don't,0,No
32368,Have you read any Stephen King novels?,Not for years.,1,Yes
32369,Are you okay to eat spicy food?,I try to avoid spicy food,0,No
32370,Did you play an instrument in high school?,I played the trumpet.,1,Yes
32371,Do you like drama?,I'll read anything if the writing is entertaining.,1,Yes
32372,Is your salary okay?,it is pretty good,1,Yes
32373,Are you interest in current science fiction books?,I've only read the classics.,0,No
32374,Would you eat snails?,I cant imagine doing that.,0,No
32375,Do you guys want to go get something to eat?,If we can have sushi.,1,Yes
32376,Are you willing to live by yourself?,I prefer company.,0,No
32377,Would you be off on weekends?,I might have to work them every once in a while.,1,Yes
32378,Are you a sports fan?,I enjoy playing baseball.,1,Yes
32379,Do you have experience with this role?,I have previous experience in the field.,1,Yes
32380,Want to read a new novel based on a true story?,That sounds interesting!,1,Yes
32381,Are you into sports?,I play tennis.,1,Yes
32382,Do you need a studio?,We want a three bedroom.,0,No
32383,Do you fancy eating sushi?,I don't eat raw meat.,0,No
32384,Do you work in an office?,It is an open plan office,1,Yes
32385,Do you need help with your luggage?,If you could be a darling and carry my three bags.,1,Yes
32386,Have you read the fifty shades of grey?,It's a terrible book.,1,Yes
32387,Did you play an instrument in high school?,I played the trombone in marching band.,1,Yes
32388,"If you do decide to take this new job, would you consider as a promotion?",It's definitely a step up from my current position.,1,Yes
32389,Is the school district good?,I am very unhappy with the curriculum.,0,No
32390,Do you enjoy living out of town?,It's exciting.,1,Yes
32391,Would you like to live near Central Park?,Central Park can be very busy,0,No
32392,Enjoy exercising?,I go for a jog almost every day.,1,Yes
32393,Got anything going on on Saturday?,I have a list of stuff to do.,1,Yes
32394,Do you work around here?,I'm just passing through town.,0,No
32395,Do you prefer horror?,I enjoy romantic comedies more.,0,No
32396,Do you like beets?,Beets don't taste very good.,0,No
32397,Any ideas on exactly where you'd like to buy?,I have a few options to consider.,1,Yes
32398,How about trying that new Thai place down the road?,I don't find it clean.,0,No
32399,Do you have a favorite restaurant in the area?,The only place I tried and really enjoyed was the new burger place.,1,Yes
32400,Do you want to go see some flats now?,That depends on where the flats are.,1,Yes
32401,"I could really go for some BBQ, are you down?",I don't eat meat anymore.,0,No
32402,Do you make enough money at your job?,I'd like to be paid more.,0,No
32403,Do you like like talking about books with others?,if they are into that I do,1,Yes
32404,Have you ever been to a live rock gig?,I saw David Bowie and Prince.,1,Yes
32405,Are you planning to go out for dinner?,I have a pot roast going at home I will eat.,0,No
32406,Do you like to read paper magazines?,Only when I go to the hairdresser's.,1,Yes
32407,Have you been living here?,Just a short while,1,Yes
32408,How do you like the area?,It's very beautiful.,1,Yes
32410,Do you like Jazz music?,I can't say I do,0,No
32411,Do you have any big plans for the weekend?,I'm going to a birthday party.,1,Yes
32413,do you like adventure?,I'm scared of risk and new places.,0,No
32414,Have you eaten Oven Fired Pizza?,I'd love to try it.,0,No
32415,While you're in town do you want to go see a game of American football?,If you can get tickets.,1,Yes
32416,Have you got a salary in mind?,I asked for top wage.,1,Yes
32417,Do you like to BBQ?,BBQ is comfort food to me.,1,Yes
32418,Do you like red meat?,Steak is my favorite food.,1,Yes
32419,Did you get a new haircut?,I got my hair coloured.,0,No
32421,Does it have a nice view?,As long as you like car parks.,1,Yes
32423,Do you have a nice trip?,The flight was relaxing.,1,Yes
32424,Are you a manager of people?,I work on my own,0,No
32425,Can I get you a poetry book?,I'd love to read some poetry.,1,Yes
32426,Would the job pay better?,I think it might,1,Yes
32427,Are your studies going well?,"Overall, though physics is a bit difficult.",1,Yes
32428,Do you want to come over to my house on Sunday afternoon?,If I can finish my grocery shopping in time.,1,Yes
32429,Have you seen the new Netflix series?,I've watched them all.,1,Yes
32431,Are you going to the high school football game tonight?,I prefer to watch basketball.,0,No
32432,Do you travel any?,We do have to travel a few times a year.,1,Yes
32433,Will you be working here?,I will be working here a lot.,1,Yes
32434,Want to go downtown?,Let's stay here.,0,No
32435,Are you doing well?,I'm really glad I moved to LA.,1,Yes
32436,Are you into Thom Yorke?,Radiohead is one of my favorite bands.,1,Yes
32437,Do you still work at the supermarket?,I haven't worked there for years,0,No
32438,Have you been to a lot of live concerts?,"Not really, I've only been to a few.",0,No
32439,Will you have some time to relax this weekend?,My second job is requiring me to work.,0,No
32440,"In your current job, do you work on a team?",I work as the head of my department of 20 people.,1,Yes
32441,Do you have an interest in movies?,I'm more interested in books.,0,No
32442,Did you read Gone Girl?,I read it a while ago,1,Yes
32443,Have you been to any concerts recently?,I saw the White Stripes.,1,Yes
32444,Have you gone back to our hometown this year?,This is the first time I've been back since high school graduation.,0,No
32445,Do you like to eat fast food?,That stuff is bad for you.,0,No
32446,Can I catch a ride with you?,My car is full of junk.,0,No
32447,Do you have a laptop computer?,I believe they'll give me a Mac.,0,No
32448,Do you enjoy outdoor activities?,I'm partial to walks on the beach.,1,Yes
32449,Did you grow up in this neighborhood?,I grew up in a different part of town.,0,No
32450,Is a good moral important?,I often like a good moral.,1,Yes
32451,Do you happen to enjoy war history or global history?,I think history is important for us to not repeat our past mistakes.,1,Yes
32452,Do you like to go to the movies?,I like to escape that way.,1,Yes
32453,Want to go the the concert tonight?,If we can still get tickets.,1,Yes
32454,Do you like staying busy at work?,I do like to keep busy,1,Yes
32455,Is country music your favorite music?,I wouldn't say that.,0,No
32456,Have you ever read The Education?,I read that in college.,1,Yes
32457,Does it have a nice view?,I love being able to see the skyline.,1,Yes
32458,Want to exchange numbers and stay in touch?,Email me you're number.,1,Yes
32459,Do you enjoy lakes and beaches?,I love walking on the sand and swimming in the deep blue water.,1,Yes
32460,Do you like to see live music?,If the band is good,1,Yes
32461,Do you enjoy listening to classical music?,It puts me to sleep.,0,No
32462,Do you enjoy haunted places?,I'm scared of ghosts.,0,No
32464,Do you have a favorite musician?,Kylie is the best.,1,Yes
32465,Do you like solving crimes?,I love figuring out whodunit.,1,Yes
32466,Do you get bored at your current job?,My tasks are repetitive.,1,Yes
32467,Do you exercise?,When I feel the need to burn some calories.,1,Yes
32468,Have you seen that new movie?,I haven't seen it yet,0,No
32469,Did you have a good day?,It was a fruitful search.,1,Yes
32470,Do you enjoy trying unique dishes?,Depends on what you mean by unique!,1,Yes
32471,Would you consider yourself a fictional reader?,I prefer self-help books.,0,No
32472,Have you decided if you are coming to the pub with us?,That's the plan.,1,Yes
