context,utterance,implicature
Are you into long walks?,Only if they take place on a beach.,1
Are you an outdoorsy type?,I love to hike.,1
Wanna go for some Chinese food?,Asian food is awesome.,1
Do you like Lord of The Rings?,I couldn't finish it.,0
Do your parents still live there?,They moved to Florida last year.,0
"I could really go for some BBQ, are you down?",I don't eat meat anymore.,0
Can you see the ocean from it?,Just a wee bit.,1
Did you dye your hair red?,I think redheads have more fun.,1
Can you take the bus?,I'll figure it out.,1
Do you like cookies?,Chocolate chip are my guilty pleasure.,1
Do you work long hours?,It is the usual nine to five routine.,0
Do you recognize me?,You look exactly the same!,1
Is a full-time role what you think you'd like?,I need to work full time to get benefits.,1
Have you read any bestsellers lately?,I'm currently reading the top bestseller at the moment.,1
Can you do latin dances?,I learned the samba.,1
Are you going home?,I have a few errands to run first.,1
Did you have a good day today?,I had to deal with several angry customers.,0
Do you have any future plans regarding your wage?,I'm planning on increasing my pay.,1
Are you free to get something to eat?,I already have plans.,0
Have you played the cello?,I only play the piano.,0
Do you like like talking about books with others?,if they are into that I do,1
Want to see a sports game?,I would love to see the stadium.,1
Would you like to get together to chat sometime?,Depends on how busy I am.,1
Do you see any of our old friends?,We lost touch.,0
Are you a fan of metal?,It's the only genre I like.,1
Do you ever smoke?,I often relax with a cigarette.,1
Have you found a better job?,Not yet,0
Did you have a good day?,I'm not very happy.,0
Will you be working in an office?,I'll be working outdoors most of the time.,0
Are you a Supervisor now?,I was promoted to Supervisor last month.,1
Are you trying to keep to a budget?,That's the plan.,1
Are you allergic to soy?,I eat soy all the time.,0
Do you have any plans this weekend?,It's anniversary weekend for me and wife.,1
Are you still in touch with any people from our old neighborhood?,I am best friends with Julie.,1
Did you read the Game of Thrones books?,The TV show is all I know.,0
Are you a fan of live music?,It's always interesting.,1
Are you still in touch with any childhood friends?,I keep up with a few on facebook.,1
Can we buy a rock CD to listen to together?,I would prefer using Spotify.,0
Have you ever proposed to your crush?,She turned me down.,1
Do you listen to music when you work out?,I love listening to loud music when I workout.,1
Want to try a new restaurant nearby?,Let's do it!,1
Can you play football?,I'm better at soccer.,1
Does a place that\'s cozy sound good?,I think cozy sounds like perfection.,1
Have you seen the old neighborhood?,It sure has changed a lot.,1
Do you like e-readers?,They're very convenient for traveling.,1
Do you have family coming to visit?,in a few weeks time,1
Do you want to listen to screamo?,I'd rather listen to country.,0
Would you like to come eat with me and my friends at our table?,"I'm waiting for another friend to show up, but thanks for the offer.",0
Would you be off on weekends?,I have to be with my kids on the weekend.,1
Was your job stressful?,It was too easy.,0
Has it been six years since we last saw each other?,It's been more like 10 years.,0
Do you know where you want to move to?,I'm checking out lots of destinations.,0
Do you want to go to the movies?,A film by my favorite director is showing downtown.,1
Would you like to check out a local brewery this week?,I'd love to see what IPAs they have here.,1
Are you afraid of heights?,You could say that.,1
Do you like thrillers?,Thrillers are good,1
Do you ever work from home?,I'd love to try it sometime.,0
Do you want to try that new Japanese place?,I can't stand raw fish.,0
do you like salads?,"I eat salads a few times a week, but would rather have steak.",1
May I get your phone number?,It's here on my business card.,1
Is it true you got married last year?,You heard right.,1
Do you like horror books?,I love them,1
Is the Harry Potter series of any interest to you?,it wouldn't really be,0
Would you like to stay over?,I was hoping you would ask.,1
Have any weekend plans?,We're going to the concert.,1
Did you move to a different city?,I'm still here.,0
Do you like classic music?,Chopin is my most played composer.,1
Do you like tex-mex food?,It's my favorite!,1
Do you play any sports?,I love soccer.,1
Do you enjoy country music?,I prefer pop.,0
Want to go dancing tomorrow night?,I would like that,1
Do you need a ride home?,I'm going to ride my bike home today.,0
Have you ever tried bulgolgi?,I don't know what bulgolgi is,0
Did you read a lot when you were a kid?,I used to read a book per week.,1
Would you like something European?,American music is preferred.,0
Was the trip peaceful?,It was uneventful.,1
Do you like reading scary books?,Only under the blankets.,1
Have you been to the new adventure park?,I am quite scared of heights.,0
Do you have five years of experience?,I have 10 years.,1
Do you prefer spicy dishes?,Spicy dishes hurt my stomach.,0
Are you going to get a roommate?,I'm living alone no matter what.,0
Are you enjoying living here?,It's quaint and quiet.,1
Did you have a nice drive here?,The traffic was terrible.,0
Is your family good and well?,My Aunt is loosing her memory.,0
Are you into classic rock?,Most of it.,1
Are you wanting to try something new?,If I can choose the cuisine.,1
Would you like to attend the play at the theater?,I'd rather go to a nightclub.,0
Have you got a spending budget?,I can spend $20 on each meal.,1
Can you afford it long term?,Money is no longer an issue for me.,1
Have you ever tried anything humorous?,David Sedaris makes me laugh.,1
Do your parents still live in the same place?,"After their divorce, they moved to separate states.",0
Are you a heavy sleeper?,I usually am,1
Would you like to check out some bars tonight?,I don't drink anymore.,0
Are you a fan of foreign food?,I love all types of cuisines from around the world.,1
Did you attend the neighborhood's high school?,I went to the one across town.,0
Will you be visiting any friends or family?,I'm seeing them all tomorrow.,1
Do you like classical music?,I listen to it all the time.,1
Have you seen the old neighborhood lately?,I was just on my way there.,0
You like swimming?,I can't swim.,0
Want to share a taxi back to Heswall ?,I think I'll walk.,0
Can you afford to live in New York?,If I keep my job it won't be a problem.,1
Did you and Jessica ever end up tying the knot?,She passed away.,0
Do you like parties?,I'm too shy for them.,0
Would you prefer a club over a music festival?,As long as the club isn't crowded.,1
Is it near the subway?,I don't think it's very close.,0
Is the beach a place you like to spend time?,I love the beach.,1
Have you got a salary in mind?,"I need to make more than $50,000",1
Do you work in the area?,I work pretty close to here.,1
Have you travelled internationally?,I've traveled all over the world.,1
Do you work with a lot of people?,Our office is only 2 people.,0
Is it in a good location?,The neighborhood is a little sketchy.,0
Do you like the neighborhood?,IT has been good to me so far,1
Do you enjoy water sports?,I swim every morning.,1
Have you ever done karaoke?,"Never, and I have no interest in it.",0
Do you prefer happy endings?,I love a happy ending.,1
Are you in a band?,Haven't been in a band in over 20 years.,0
Have you been to the cinema lately?,We saw the new Tom Hanks movie.,1
Will you be watching that new drama this evening?,I don't think I'll have time.,0
Are you working this weekend?,I got Sunday off but need to go in Saturday.,1
Do you have any interest in biographies?,When they're written well.,1
Do you live here by yourself?,I have 3 roomates.,0
Do you have a real estate agent that you're working with?,I have the top lady.,1
Are you enjoying your job?,It's my dream job.,1
Want to find a restaurant?,Let's go somewhere without a line up.,1
Want to see a sports game?,I don't like sports,0
Are you renting your place?,For now.,1
Would you like to try that new Italian place down the road?,I'd rather go to the Mexican place.,0
Do you read murder mystery?,That's a genre I can't get into.,0
Is it good to see me?,I am so happy to be here right now.,1
Are you doing well?,I have everything I want.,1
Have you been up to anything new?,I've been working a lot mainly.,0
Are you sure this is something that you want to do?,I'm committed to buying.,1
Are you single?,There's no one special in my life.,1
Has your move been easy?,"I just moved from the suburbs, so it wasn't too bad.",1
Do you like thrillers?,I haven't found any good ones yet.,0
Do you have any kids of your own now?,We are the proud parents of two girls.,1
Did you have a productive week?,I feel like I haven't gotten anything done.,0
Do you like country and western bands ?,I like a few.,1
You going out tonight?,I am meeting friends at 7pm.,1
Do you like your co-workers?,I get along with my co-workers very well.,1
Are you interested in going to the concert on Sunday?,It's been a while since I've been so we should plan one,1
Have you been to the new adventure park?,I have a membership.,1
Would you be moving in by yourself?,I can't live with another person.,1
Have you been well?,I finally kicked my smoking habit.,1
Are you afraid of heights?,I can barely make myself get on a ladder.,1
Do you like working with a large number of people?,Smaller teams are preferable.,0
Did you enjoy your journey?,I was able to sleep on the plane.,1
Do you have any food allergies?,I'm severely gluten intolerant.,1
Did you go to college?,I am still in college.,1
Do you prefer fiction?,I prefer non fiction,0
Are you fit and healthy?,I've been going to the gym every day.,1
Is your brother still in London?,He loves it there.,1
Do you have a lift home?,I'm taking the bus.,1
Are you going to be the boss?,I'm not going to manage anyone.,0
Would you like to hike?,We should go,1
Do you have family from around here?,They are all around the city.,1
Are you interest in current science fiction books?,I tend to stick with Star Trek.,0
Have you given many presentations?,I'm required to give presentations every week.,1
Have you been living here for a long time?,This is my first day.,0
Are you excited to go home?,My house is a little lonely.,0
Want to go dancing?,I've got two left feet.,0
Are you considering a career change?,Maybe after the kids are grown.,1
Do you like going to sports events?,I prefer music festivals.,0
Are you going to take any new courses to better your chances?,"Good idea, I think I'll take a programming course.",1
You like high pitch songs?,I prefer low-key tunes.,0
Is it in a neighborhood I've heard of?,Have you heard of Brooklyn?,1
Would you like to stay in this evening?,What an excellent idea!,1
Should we check out special events happening in the area during your stay?,That sounds like a good idea,1
Did you grow up to be what you wanted to as a kid?,Nothing like what I wanted,0
Would you like to exchange memories from the past?,That feels really personal.,0
Would you like to hike?,I want to try that new trail with the waterfall.,1
Have you got a car?,I don't need a car in New York.,0
Do you like to play a instrument?,I've always been very musically talented.,1
Have you ever lived in a big city?,I'm from a small town.,0
Are you going to watch Star Wars at the movies?,I don't like star wars,0
Want to go to the Drake concert in town?,I don't like Drake.,0
Have you ever read the Harry Potter books?,I've followed the whole series of books.,1
Do you like suspense novels?,I only read cookbooks.,0
Do you know what neighborhood you will buy it in?,I have to check the prices before I decide first.,0
Are you trying to live in a specific neighborhood?,Bedford is choice number one.,1
Do you like to play the drums?,I've never played the drums.,0
Do you like American style cuisine?,It's very greasy and unhealthy..,0
Are you interested in outdoor activities?,I love nature.,1
Can we catch up?,What's a good time for you?,1
Are you still living there?,We're just here visiting family.,0
Does it pay better?,I'll take a hit in the beginning.,0
Have you read the Harry Potter series?,I finally got around to it last year.,1
Are you okay walking a few blocks to a subway stop?,I'd rather ride my bike.,0
Have you learned how to play an instrument?,I'm going to start guitar lessons next month.,0
Are you lactose intolerant,I can't eat or drink dairy.,1
Have a nice house yet?,We rent an apartment.,0
Do you like hiking?,I enjoy walking over the mountains and feeling the wind on my face.,1
Do you go to concerts?,I often go to live events.,1
Do you make art?,I try my hand at it now and then.,1
Have you been looking for a new job?,I have for a while,1
Would you like to exchange numbers?,I'd prefer not to.,0
Is your job too stressful?,It can be at times,1
Are you going to live in this flat a long time?,I will stay as long as I can.,1
Do you like french fries?,It's my favorite potato dish.,1
Would you like to live near Central Park?,It's the best part of the city.,1
Are you good at your job?,I've been working as a secretary for six years.,1
Are you into romantic novels?,Romance is too sappy.,0
Interested in hitting the outlet mall?,Let's go!,1
Do you know Roller balding?,I prefer ice skating.,1
Have you read a lot of nonfiction?,My bookshelf is full of biographies.,1
Do you enjoy foreign cuisine?,I like Mexican food.,1
Are you into fantasy books?,If the have a good plot,1
Would you like to properly catch up some time?,How about dinner on Thursday?,1
Did you move here recently?,I've been here for a month.,1
Would you like to join the rally this weekend?,That sounds too loud.,0
Do you know how much flats usually go for?,It depends on the area.,1
Have you been to the new bar downtown?,I haven't heard of it,0
Would you be OK with a studio unit?,That would be good.,1
Are you going out for drinks?,That is next week,1
Are you allergic to cats?,I almost died from being near a cat.,1
Do you like to go to concerts?,I like some artists live.,1
Are you up for a hike tomorrow morning?,If you don't go too early.,1
Do you live in this city?,I moved here a while ago,1
Do you see yourself raising a family in New York?,I would probably move if we had kids.,0
Do you like sci-fi?,It depends how well it's written.,1
Do you sing at karaoke bars?,If I'm with friends and it feels right.,1
Are you a Supervisor now?,"I only have to be responsible for myself, thank goodness.",0
Have any children?,Six when I last counted.,1
Do you like to eat at restaurants where they have a prix fix menus?,they can be fun,1
Have you met up with anyone else we know?,I haven't seen anyone,0
Do you enjoy nonfiction content?,When it's on an important topic.,1
Are you interested in history or historical novels?,Especially when it's European.,1
Do you like Indian food?,If it's not too spicy.,1
Do you read self-help books?,I find them very useful.,1
Could you go for a salad?,I'd rather have something more filling.,0
Are you going home?,I plan on staying the night.,0
Are you good at your job?,I like to think so,1
Do you listen to new music every Friday?,I don't keep up with music.,0
How about Stephen King?,His books are too scary.,0
Got any plans?,We're going to sing karaoke,1
Can I come visit you?,I'd prefer not.,0
Do you prefer casual dining?,I don't like spending much money.,1
Do you like history?,It's pretty boring,0
Would a mystery be enjoyable?,If I didn't have anything else to read.,1
Do you like crime thriller books?,I love them,1
Is there a neighborhood watch program?,We haven't put up the signs yet.,1
Do you have any fun plans for the weekend?,Going surfing Saturday.,1
Is your mom doing OK?,She is doing fine,1
Do you like to read horror books?,Horror is my favorite,1
Do you like to dine in?,Then I don't have to clean up.,1
Are you still playing the guitar?,On the occasion.,1
Are you working a night shift?,I refuse to do a night shift.,0
Is your current job very stressful?,I don't feel challenged in my current job.,0
Are you heading to work?,"We're leaving, Steve.",0
Do you go out on the weekends?,most of them I do,1
Do you have children,We haven't tried yet.,0
Do you have to do heavy-lifting?,I do not luckily,0
Do you like crowds?,I don't like being around large groups of people.,0
Should we check out special events happening in the area during your stay?,I think we should,1
Are you into mysteries?,Mysteries are interesting to figure out.,1
Do you like cats?,I love all animals.,1
What do you normally do in a days time?,I'm usually at work,1
Are you tired?,I'm feeling energetic.,0
Are you getting a takeaway tonight?,"That's a good suggestion, I don't feel like cooking.",1
Are you looking specifically downtown locations?,Downtown is where I'd most like to live.,1
Do you go to New York often?,I go when I can,1
Are your parents doing good?,They're the best.,1
Have you watched Disney movies?,I've seen most Disney films.,1
Do you like to be outdoors?,If the weather is good,1
Would a book of short stories appeal to you?,I like short stories; that would be interesting.,1
Hey do you enjoy jazz lounges?,I really like hanging out at jazz lounges.,1
Are you a Supervisor now?,I do not have any authority in my company.,0
Does the new job pay more?,The new job does pay a lot more,1
Would you say your job is meaningful?,I would say it is,1
Do you like going to the movies?,I have a pass to our local theater.,1
Do you need a yard?,A lot of outdoor space is essential.,1
"I know you're not used to this heat, would you want to go take a dip at Barton Springs to cool off?",Depends on how far it is.,1
Do you drink beer?,I prefer cider,0
Do you have a laundry room?,There's a washer and dryer in my flat.,1
Do you like French cuisine?,My favorite restaurant is French.,1
Did you ever get to learn to play the banjo like you wanted to when you were young ?,I'm a professional banjo player now.,1
Did you enjoy your holiday?,the holiday was great,1
Are you a vegetarian ?,I need meat every day.,0
Did you like your new neighbors?,Everyone seems very friendly.,1
Were you able to finish that project before end of day?,"Almost, but I got caught up with something else.",0
Are you a sports fan?,I go to all the baseball games.,1
Is there anything I should be worried about?,Our cats hate strangers.,1
Are you into trying a mom and pop burger place near me?,Not a bad idea.,1
Have you researched flat prices in New York?,of course I have,1
Is there a specific dish that you enjoy?,Pizza will always be a favourite of mine.,1
Have you found a place yet?,Still on the hunt!,0
Is that you KISS tee shirt?,I would never have one.,0
Do you want to go see a movie tonight?,Let's see an action film.,1
Do you have an interest for seafood?,I adore eating prawns and crab.,1
Did you like that Ethiopian place we tried the other day?,My stomach got upset.,0
Do you think suspense is worthwhile?,Only if it isn't too mainstream.,1
Do you like Jazz?,The only music I listen too is rock.,0
Are you looking to meet people?,I'm already dating someone.,0
Are you a fan of eating out?,I like to stay home.,0
Have you listened to Tame Impala?,They are a wonderful band!,1
Do you have an interest in movies?,I love going to the theater.,1
Do you listen to rap?,"Never, I can't stand it.",0
Have you seen any of our old friends lately?,I haven't seen any for a while,0
Do you have diabetes?,I do not thankfully,0
Are you willing to do any contract work?,I'd prefer working on bigger contract gigs.,0
Do you spend your time behind a computer screen?,Most of the day I am at the computer.,1
Do you like newer music?,If it's tasteful jazz.,1
Do you like to read non fiction?,If it's a subject I'm interested in.,1
Have you had a good life so far?,My family is going through some hard times.,0
Do you eat breakfast early in the morning?,sometimes it's early,1
Would you like to see the gig at the town hall next week?,Depends what time it's on.,1
Are you enjoying your job?,I love being self-employed.,1
Can you handle the cost of living there?,We both have high salaries.,1
Will you be working here?,"I already started, last week.",1
Are you an animal lover?,I have two dogs and two cats.,1
Do you like to go to concerts?,I'd rather hear live music in a more intimate setting.,1
Do you like novels?,When they're romance or fantasy.,1
Do you work nearby?,I'm between jobs.,0
Do you like reading true crime novels?,As long as they're not too gory.,1
Would you like to check out a local brewery this week?,Only if there are samples.,1
Are you vegan?,I like meat too much,0
"Alright man, now that you're here do you want to grab some Texas barbecue?",Let's do it.,1
Have you tried Valentina's BBQ?,I went there once and the food was great.,1
Is your job still exciting and rewarding for you ?,I'm ready to move on.,0
Have you tried the new deli in our neighborhood?,I didn't know there was one.,0
Have you ever read Dean Koontz?,He's one of my favorite authors.,1
Do you like food with a lot of spices?,"Although flavourful, I often have a bad reaction.",0
Do you enjoy musicals?,I despise them.,0
Do you like to go to the movies?,I'd go every day if I could.,1
Have you seen any live performances lately?,Not that I can recall.,0
Do you listen to classical music?,I like classical music like Beethoven.,1
Do you like live music?,I love concerts.,1
Wanna eat some burgers?,I'd rather have some pizza.,0
Do you like your current job?,It's taxing.,0
Did your mom ever find out we wrecked her car?,I ended up telling her only a couple of years ago :),1
Are we meeting at my house later?,I think we should,1
Is the flat close to work?,It's walking distance.,1
Would you like to go out for dinner?,I would prefer to stay in.,0
Did you move to a different city?,I am still in the same one,0
Did anyone play an instrument in your household when you were growing up?,My mom played the piano every evening.,1
Is horseback riding something you enjoy during your leisure time?,I broke my ankle riding a horse.,0
Have you been to any music concerts?,I frequently go to gigs in the local area.,1
Did you hear a about our friend John's marriage?,I saw it in the paper,1
Are you vegetarian?,I've not eaten meat since I was a child.,1
Have you read any bestsellers lately?,I haven't picked up a book in months.,0
It is too far from where you live?,The long commute won't be a problem.,1
Do you have a nice trip?,Parts have been alright.,1
Are you a fan of metal?,ACDC is the best band ever.,1
Do you live close by?,We live down the street.,1
Would your ideal weekend be spent outside of the house?,"On the contrary, I want to sleep in bed forever.",0
Do you like spicy food?,I like it milder,0
Have you enough money to afford this flat ?,I saved up a lot of money.,1
Can you eat spicy food?,As long as there's water on the table.,1
Does it have to be in the city itself?,I think so.,1
Do you enjoy live music?,Concerts rock.,1
Do you need a ride?,I can take the bus.,0
Will you have to do physical tasks?,I hope to be more physical.,1
Have you been to New York before?,I've been here for a short while some years ago.,1
Do you like to workout or are into athletics?,I enjoy taking long walks.,1
Did you have ideas about things you would like to do?,What about a movie?,1
Aren't you glad it's Friday?,I love Friday,1
Do you need experience?,I think they will train me.,0
Is it in a high crime area?,I bought a place in the safest area I could find.,0
Can I get you a beer?,I'd rather have a cocktail.,0
Is it close to the subway?,It's near a bus stop.,0
Are you a fan of movie soundtracks?,Some are quite good.,1
Are you into Thom Yorke?,"He was part of Radiohead, right?",0
Can you share with me you favorite playlist?,I don't have any playlists.,0
Are you vegetarian?,I'll always pick the vegetarian option.,1
Do you like where you're working?,It's a dream job.,1
Do you like museums?,I prefer museums of playing games any day!,1
Are you interested in historical novels?,I read historical mysteries.,1
Do you like murder mystery books?,I have an entire bookshelf of cozy mysteries.,1
Are you happy with your salary?,I would like a raise.,0
Are you into sight-seeing?,I love to see new places.,1
Do you like vegan food?,Only salads.,1
Have you ever listened to Utada Hikaru?,That's not a name I recognize.,0
Is is close to the Subway station?,That's the hope.,1
Are you into fitness?,I'm trying to get in shape this winter.,1
Are you from Nepal?,I'm actually from Tibet.,0
Do you want to go sightseeing?,I prefer to stay away from doing touristy things,0
Have you been to Lake Travis yet?,The lake on the Colorado river is stunning and beautiful.,1
Would you like to take the spare key to my house?,"Thanks, I'm sure your place is nicer than the hotel.",1
Do you like reading books?,I love to turn the pages to find out what will happen next.,1
Was your flight nonstop?,It had one layover.,0
Did you get enough sleep?,Just barely.,1
Will this be the first time for you living in NY?,I lived here for half a year when I was 25.,0
Do you play the cello?,My friend Hakeem taught me.,1
How about booth seating?,I'd prefer the bar.,0
Do you have a date night all planned out?,Going to dinner and a movie with my boyfriend.,1
Do you like science fiction books?,Ender's Game is a favorite of mine.,1
Do you want to grab some food?,I could go for a nice sit-down meal.,1
"Hi neighbor, have you got any hobbies?",I play in a reggae band.,1
Want to work for another company?,I'm more interested in switching locations.,0
Has your life gone the way you expected?,It depends on the day.,1
Do you like the city so far?,It's nice how close by everything is.,1
Enjoy diner food?,As long as it's not too greasy.,1
Have you been downtown yet?,This is my first time here.,0
Have you heard of any attractions nearby that interest you?,I've heard the art museums are wonderful here.,1
Did you move for work?,I relocated for this job.,1
Do you like burritos,When they are well made.,1
Is the neighbourhood good?,It's a bit sketchy.,0
Aren't they paying you above asking?,How do you know?,1
Does your favorite music need to have a good beat to dance too?,I'm not a dancer.,0
Do you work full-time?,Full time unfortunatley,1
Do you sleep in late?,Only on weekends.,1
Have you any photos of your family now?,I lost them in the fire.,0
Will you be going at night this weekend?,I'm going to have a quiet weekend.,0
Does your background match up well with the new job?,I think so.,1
Would you want to go to see Garth Brooks tomorrow?,that would bencie,1
Want to extend this conversation over dinner tonight?,Only if you're buying.,1
Do you still live in that neighborhood?,I've been gone for a long time.,0
Have you had Korean food?,Korean food is very flavourful.,1
Do you have your kids this weekend?,They're with their mom.,0
Did you ever go to college or university?,My PhD is in rocket science.,1
Do you know how expensive NYC is?,I'm prepared for the prices.,1
Looking forward to a couple days off?,I need to relax and have fun.,1
Have you heard Lizzo new song?,I have her album,1
Have you been in town this whole time?,I only got here this morning.,0
Have you got roommates?,I live alone.,0
Do you prefer to stay indoors during the weekend?,I love to feel the sun on my face when I am not at work.,0
Did you read The Help?,My favorite character was Aibileen Clark.,1
Are you planning to go out for dinner?,I'm going to have a quick meal at home.,0
Did you get enough sleep?,I am well rested.,1
Do you like concerts?,When I can sit close to the stage.,1
Want to grab something to eat?,If we can make it quick.,1
Do you know where it is?,I'm checking out different neighborhoods.,0
Do you like cats?,I'm a dog person.,0
Do have any pets?,I have a Bengal cat.,1
Have you ever heard merengue music?,I don't know it.,0
Are you free this weekend?,I have plans this Saturday and Sunday.,0
Do you enjoy any genre of books?,I'll read most anything.,1
Have you been downtown yet?,Only once but I'd like to go there.,1
Have you heard of any attractions nearby that interest you?,There is a brand new mall that I'd like to visit.,1
Are you looking for a place with more than one bathroom?,It must have 2 bathrooms.,1
Are you single?,I am indeed,1
are you outdoorsy?,I love hiking and skiing.,1
Did you move out of the neighborhood?,Long ago,1
Are you going to the club this weekend?,I have to drive to Michigan.,0
Want to grab a drink?,I'd love a martini.,1
Glad it's the weekend?,I've been waiting all day.,1
Did you look at what's out there?,There's a lot of nice places but many are too expensive.,1
do you have kids?,My wife is pregnant with our second child.,1
Do you like art galleries and museums?,I can't think of a better Saturday.,1
Are you interested in going to the concert on Sunday?,Depends on which band it is.,1
Do you have to deal with technology?,Only with phones.,1
D you have plans for later?,"My date just cancelled, so I'm free.",0
Do you have dinner plans?,I don't have any yet,0
Do you want to go see some flats now?,There's an open house tomorrow I'd like to go to.,1
Have you given many presentations?,I have gave a few,1
Are you wanting to read Doctor Sleep?,I will watch the movie instead.,0
Do you have an interest in movies?,I have a movie list a mile long.,1
Did you enjoy reading the last Harry Potter book ?,I have never read a single page of any of the books.,0
Have you always worked in this field?,I've worked a couple of jobs in a different field.,0
Are you open to having roommates that you rent to?,I'd rather live alone.,0
Did you graduate college yet?,I got my degree a few years ago.,1
Are you into R&B?,I love that and Neosoul.,1
Are there benefits?,Health insurance.,1
Have you been working for a long time?,I have been here 15 years.,1
Is it time for breakfast?,It's always time for breakfast in my book.,1
How about we go get a drink together?,Whats that bar like up there ?,1
Would you be interested in history books?,I do love to read about history.,1
Have you seen the new art exhibition that is in the town hall?,I just heard about it this morning.,0
Are you a fan of Hip Hop?,Some of it is okay,1
Do you like solving crimes?,I'm not into crime.,0
Did all of your luggage arrive?,Not the duffel.,0
How about a game of cards?,Cards are not my thing.,0
Is salad something you're interested in?,I'm more in the mood for some pasta.,0
Have you been looking for awhile?,I just started today.,0
Will you stay here for a while?,I have to leave tomorrow.,0
Are you going directly to your house?,I'm going to pick up a bite to eat somewhere first.,0
Do you mind seafood?,I hate it.,1
Do you think suspense is worthwhile?,If it works in the novel.,1
Can you afford to live in New York?,I will get a regional pay increase.,1
Was your move job related?,I just got a job here.,0
Did you listen to the new Taylor Swift album?,Just a few of the songs.,1
Want to come over and watch the game this weekend?,I don't like sports,0
You have any kids?,I had twins a few years ago.,1
Have you seen that new movie?,I've seen way too many movies lately.,1
Looking forward to the weekend?,Can't wait to go fishing this weekend.,1
Is the beach a place you like to spend time?,I love getting sand between my toes.,1
Have you lived here very long?,We just moved in.,0
Are you staying for the weekend?,"I have to leave before the weekend, sadly.",0
Do you play any wind or string instruments?,I used to play the flute in high school.,1
Are you still interested in photography?,I just got a new camera last week.,1
Have you been downtown yet?,I'm planning on going this weekend.,0
Have you seen that new movie?,It was kind of boring compared to the last one.,1
Do you want to head straight home?,I am in no hurry,0
Do you like reading biographies?,Some people led really fascinating lives.,1
Are you working here?,I'm visiting a friend.,0
Have you got any plans this weekend?,We're visiting family out of state.,1
Do you have a house?,I do indeed,1
Do you like heavier music?,I do if in the right mood,1
Do you enjoy traveling?,My passport is almost full.,1
Are you excited to start a new job?,I'm pretty nervous.,1
Have you been eating alright?,I've been eating too much.,0
Is the flat in Queens?,You know I hate Queens.,0
Do you like Indian food?,It is my favourite type of food,1
Have you ever try Mexican food?,I've tried some of it,1
Do you have a dog,My dog is at home.,1
Are you into modern art?,It confuses me.,0
Isn't New York apartment worth investment?,Only if the housing market stays stable.,1
Want to try my favorite restaurant ever?,If you let me pay.,1
Are you looking for a role with a flexible schedule?,I'll need it to be as flexible as possible.,1
Have you kept in touch with any of our other neighbors?,I don't talk to them.,0
Do you like it here?,I love it so far,1
Have you been to college/university?,I have a bachelor's and master's degree.,1
Is a view important?,I suppose it is,1
Are you trying to be more independent?,It's good for me to go out on my own.,1
Are you interested in outdoor activities?,I am a golfer.,1
Are you a kind ?,I believe that I am a kind worker.,1
Have you gone to a concert recently?,I think the last one was around 5 years ago.,0
Have you read the new Stephen King book?,I've never read anything by him.,0
Have you worked with sql previously?,I used to in college.,1
Are you a college graduate?,I have a degree in journalism.,1
Do you prefer to stay at home on Saturdays?,I like getting stiff done around the house that day.,1
Is your family going skiing this weekend?,If the kids get over their colds.,1
Are you a frequent visitor to New York?,I come as often as I can manage.,1
Have you been eating alright?,I always try to,1
Do you work everyday of the week?,I usually do,1
Are you tired of working here?,I love working here.,0
Would you like to go for some food?,I could go for some Chinese.,1
Do you eat fish?,Only if it's well cooked.,1
Are you into R&B?,I'm more of a pop person.,0
Have you ever tried contra dancing?,I'm terrible with dance steps.,0
Do you enjoy water sports?,some water sports are good,1
Do you have a mortgage right now?,I currently don't have any debts.,0
Would you prefer cakes or pies?,I have a sweet tooth.,1
Is it good to see me?,I'm so happy to see you!,1
Have you lived here long?,I just moved here yesterday from out of state.,0
Is it very tiring?,I find it exhausting.,1
Have you ever been to a music festival?,I've been to lots of them.,1
Have you ever read a mystery novel?,Mystery novels are my favorite genre.,1
Are there parks and amenities close to the flat you are considering?,There's great places to go and most everything I need is close-by.,1
do you like adventure?,It's my middle name.,1
Do you work from home?,I am fortunate to work form home.,1
Are you still living in town?,I moved to the suburbs last year.,0
Do you own a pet?,We have four dogs.,1
Do you have any plans this weekend?,We're going snowshoeing.,1
Have you played an instrument?,I played the recorder in my elementary school band.,1
Do you want to go partying tonight?,I need to take it easy this weekend.,0
Do you mind heights?,The only phobia I have is spiders.,0
Can I come to you to the park?,I am free later.,1
Do you like sports?,Football is life.,1
Is Chinese good?,I love the crispy duck and sweet and sour chicken.,1
Are you able to work over time?,That's not a part of my package.,0
Do you want to catch up over breakfast?,That sounds great.,1
Do you want to crash at my place?,"I only live a couple blocks away, so getting home will be no issue.",0
Did you just move to this area?,I've been here a few weeks.,1
Did you move to Chattanooga?,I prefer coastal towns.,0
Do you work in an office?,I work in a home office.,1
Did you get through the airport ok?,I was quick through the airport,1
Do you have kids now?,Several from different fathers.,1
Do you want to walk to the bus stop together?,that would be good,1
Do you have to be home for a certain time?,"The joy of being single, my time is my own.",0
Are you coming to work tomorrow?,Not on a Saturday.,0
Are you free tonight?,I think I am,1
Do you still live in that neighborhood?,I moved out of the country.,0
Do you like family style restaurants?,They are always nice,1
Are you into burger and fries?,I love American style cuisine.,1
Do you like Michael Buble?,I do like his music,1
Do you like fancy restaurants?,When they aren't too expensive.,1
Did you enjoy the last Mediterranean restaurant we went to?,The flavors were underwhelming.,0
